student_id,student_name,grade_level,class_room,gender,birth_date,enrollment_date,status,parent_contact,address_district
S033,นางสาวนภัสสร สุขสม,ม.5,5/3,หญิง,2008-12-27,2020-05-15,กำลังศึกษา,086-456-7833,ดอนตูม
S034,นายวัชรพงษ์ เฉลียว,ม.5,5/3,ชาย,2008-02-09,2020-05-15,กำลังศึกษา,087-567-8934,เมือง
S035,นางสาวจิราพร นุ่มนวล,ม.6,6/1,หญิง,2007-05-19,2019-05-15,กำลังศึกษา,088-678-9035,แก้วฟ้า
S036,นายพีรพัฒน์ เจริญรุ่ง,ม.6,6/1,ชาย,2007-07-31,2019-05-15,กำลังศึกษา,089-789-0136,เมือง
S037,นางสาวอรอุมา อุดมสุข,ม.6,6/2,หญิง,2007-09-14,2019-05-15,กำลังศึกษา,081-890-1237,ดอนตูม
S038,นายชญานนท์ ดีงาม,ม.6,6/2,ชาย,2007-11-26,2019-05-15,กำลังศึกษา,082-901-2338,เมือง
S039,นางสาวรัชนีกร วิไลลักษณ์,ม.6,6/3,หญิง,2007-01-08,2019-05-15,กำลังศึกษา,083-012-3439,แก้วฟ้า
S040,นายธนบดี อาจหาญ,ม.6,6/3,ชาย,2007-03-20,2019-05-15,กำลังศึกษา,084-123-4540,เมือง
S041,นางสาวพิชญาภา สง่างาม,ม.1,1/1,หญิง,2012-08-11,2024-05-15,กำลังศึกษา,085-234-5641,ดอนตูม
S042,นายกฤตภาส เข้มแข็ง,ม.1,1/2,ชาย,2012-10-23,2024-05-15,กำลังศึกษา,086-345-6742,เมือง
S043,นางสาวณัฏฐณิชา อ่อนหวาน,ม.1,1/3,หญิง,2012-12-04,2024-05-15,กำลังศึกษา,087-456-7843,แก้วฟ้า
S044,นายธนวัฒน์ สง่าผ่าเผย,ม.2,2/1,ชาย,2011-02-16,2023-05-15,กำลังศึกษา,088-567-8944,เมือง
S045,นางสาวปณิตา สดใส,ม.2,2/2,หญิง,2011-04-28,2023-05-15,กำลังศึกษา,089-678-9045,ดอนตูม
S046,นายเอกชัย แข็งขัน,ม.3,3/1,ชาย,2010-07-10,2022-05-15,กำลังศึกษา,081-789-0146,เมือง
S047,นางสาวพรพิมล ละมุนละไม,ม.3,3/2,หญิง,2010-09-22,2022-05-15,กำลังศึกษา,082-890-1247,แก้วฟ้า
S048,นายธีรวัฒน์ สูงส่ง,ม.4,4/1,ชาย,2009-11-03,2021-05-15,กำลังศึกษา,083-901-2348,เมือง
S049,นางสาวอัญชิสา สุขสันต์,ม.4,4/2,หญิง,2009-01-15,2021-05-15,กำลังศึกษา,084-012-3449,ดอนตูม
S050,นายปภังกร เด่นดวง,ม.5,5/1,ชาย,2008-03-27,2020-05-15,กำลังศึกษา,085-123-4550,เมือง
S051,นางสาวสุทธิดา เรืองรอง,ม.5,5/2,หญิง,2008-05-09,2020-05-15,กำลังศึกษา,086-234-5651,แก้วฟ้า
S052,นายวรากร มั่นใจ,ม.6,6/1,ชาย,2007-06-21,2019-05-15,กำลังศึกษา,087-345-6752,เมือง
S053,นางสาวณัฐริกา อร่าม,ม.6,6/2,หญิง,2007-08-02,2019-05-15,กำลังศึกษา,088-456-7853,ดอนตูม
S054,นายปัณณวิชญ์ สุดยอด,ม.1,1/4,ชาย,2012-09-14,2024-05-15,กำลังศึกษา,089-567-8954,เมือง
S055,นางสาวพรรณษา หอมกรุ่น,ม.2,2/3,หญิง,2011-11-26,2023-05-15,กำลังศึกษา,081-678-9055,แก้วฟ้า
S056,นายธนากร สว่างไสว,ม.3,3/3,ชาย,2010-01-07,2022-05-15,กำลังศึกษา,082-789-0156,เมือง
S057,นางสาวปัทมา บุญมี,ม.4,4/3,หญิง,2009-03-19,2021-05-15,กำลังศึกษา,083-890-1257,ดอนตูม
S058,นายณัฐพงศ์ ชัยชนะ,ม.5,5/3,ชาย,2008-05-31,2020-05-15,กำลังศึกษา,084-901-2358,เมือง
S059,นางสาวนันทิตา ละออ,ม.6,6/3,หญิง,2007-07-12,2019-05-15,กำลังศึกษา,085-012-3459,แก้วฟ้า
S060,นายพีรวัส เจนจบ,ม.1,1/1,ชาย,2012-09-24,2024-05-15,กำลังศึกษา,086-123-4560,เมือง
